Date,vix,s&p500
2-Jan-90,17.24,359.690002
3-Jan-90,18.19,358.76001
4-Jan-90,19.22,355.670013
5-Jan-90,20.11,352.200012
8-Jan-90,20.26,353.790009
9-Jan-90,22.2,349.619995
10-Jan-90,22.44,347.309998
11-Jan-90,20.05,348.529999
12-Jan-90,24.64,339.929993
15-Jan-90,26.34,337
16-Jan-90,24.18,340.75
17-Jan-90,24.16,337.399994
18-Jan-90,24.34,338.190002
19-Jan-90,22.5,339.149994
22-Jan-90,26.7,330.380005
23-Jan-90,24.72,331.609985
24-Jan-90,25.39,330.26001
25-Jan-90,25.63,326.079987
26-Jan-90,26.28,325.799988
29-Jan-90,26.44,325.200012
30-Jan-90,27.25,322.980011
31-Jan-90,25.36,329.079987
1-Feb-90,24.87,328.790009
2-Feb-90,24.32,330.920013
5-Feb-90,24.54,331.850006
6-Feb-90,24.69,329.660004
7-Feb-90,24.29,333.75
8-Feb-90,23.77,332.959991
9-Feb-90,23.69,333.619995
12-Feb-90,24.38,330.079987
13-Feb-90,23.76,331.019989
14-Feb-90,22.05,332.01001
15-Feb-90,19.71,334.890015
16-Feb-90,20.78,332.720001
20-Feb-90,22.78,327.98999
21-Feb-90,23.89,327.670013
22-Feb-90,22.54,325.700012
23-Feb-90,23.69,324.149994
26-Feb-90,23.56,328.670013
27-Feb-90,22.69,330.26001
28-Feb-90,21.99,331.890015
1-Mar-90,21.9,332.73999
2-Mar-90,21.34,335.540009
5-Mar-90,22.03,333.73999
6-Mar-90,20.55,337.929993
7-Mar-90,19.1,336.950012
8-Mar-90,19.74,340.269989
9-Mar-90,20.3,337.929993
12-Mar-90,20.07,338.670013
13-Mar-90,21.05,336
14-Mar-90,19.65,336.869995
15-Mar-90,18.81,338.070007
16-Mar-90,17.62,341.910004
19-Mar-90,18.29,343.529999
20-Mar-90,19.06,341.570007
21-Mar-90,20.1,339.73999
22-Mar-90,22.74,335.690002
23-Mar-90,20.46,337.220001
26-Mar-90,19.59,337.630005
27-Mar-90,21.01,341.5
28-Mar-90,19.77,342
29-Mar-90,18.46,340.790009
30-Mar-90,19.73,339.940002
2-Apr-90,22.84,338.700012
3-Apr-90,20.44,343.640015
4-Apr-90,22.03,341.089996
5-Apr-90,21.21,340.730011
6-Apr-90,21.76,340.079987
9-Apr-90,22.3,341.369995
10-Apr-90,21.69,342.070007
11-Apr-90,17.73,341.920013
12-Apr-90,19.8,344.339996
16-Apr-90,20.75,344.73999
17-Apr-90,20.38,344.679993
18-Apr-90,22.67,340.720001
19-Apr-90,22.46,338.089996
20-Apr-90,23.33,335.119995
23-Apr-90,24.16,331.049988
24-Apr-90,21.7,330.359985
25-Apr-90,20.86,332.029999
26-Apr-90,20.25,332.920013
27-Apr-90,22.19,329.109985
30-Apr-90,19.52,330.799988
1-May-90,18.43,332.25
2-May-90,19.32,334.480011
3-May-90,17.81,335.570007
4-May-90,17.28,338.390015
7-May-90,17.65,340.529999
8-May-90,18.49,342.01001
9-May-90,18.64,342.859985
10-May-90,18.59,343.820007
11-May-90,19.81,352
14-May-90,20.14,354.75
15-May-90,19.49,354.279999
16-May-90,17.71,354
17-May-90,17.27,354.470001
18-May-90,17.2,354.640015
21-May-90,16.72,358
22-May-90,17.84,358.429993
23-May-90,17.18,359.290009
24-May-90,17.7,358.410004
25-May-90,17.32,354.579987
29-May-90,18.75,360.649994
30-May-90,17.44,360.859985
31-May-90,17.37,361.230011
1-Jun-90,17.09,363.160004
4-Jun-90,18.39,367.399994
5-Jun-90,18.97,366.640015
6-Jun-90,17.42,364.959991
7-Jun-90,16.88,363.149994
8-Jun-90,17.58,358.709991
11-Jun-90,16.34,361.630005
12-Jun-90,16.6,366.25
13-Jun-90,17.38,364.899994
14-Jun-90,17.4,362.899994
15-Jun-90,15.9,362.910004
18-Jun-90,17.71,356.880005
19-Jun-90,15.23,358.470001
20-Jun-90,15.27,359.100006
21-Jun-90,14.72,360.470001
22-Jun-90,19.36,355.429993
25-Jun-90,17.06,352.309998
26-Jun-90,16.29,352.059998
27-Jun-90,16,355.140015
28-Jun-90,16.18,357.630005
29-Jun-90,15.5,358.019989
2-Jul-90,16.26,359.540009
3-Jul-90,16.11,360.160004
5-Jul-90,17.25,355.679993
6-Jul-90,16.41,358.420013
9-Jul-90,16.66,359.519989
10-Jul-90,16.92,356.48999
11-Jul-90,16.68,361.230011
12-Jul-90,17.06,365.440002
13-Jul-90,17.09,367.309998
16-Jul-90,16.75,368.950012
17-Jul-90,16.66,367.519989
18-Jul-90,18.9,364.220001
19-Jul-90,18.56,365.320007
20-Jul-90,15.63,361.609985
23-Jul-90,23.68,355.309998
24-Jul-90,21.79,355.790009
25-Jul-90,20.19,357.089996
26-Jul-90,20.26,355.910004
